preset_name,count
plugin:@typescript-eslint/recommended,185
eslint:recommended,176
prettier,105
plugin:prettier/recommended,76
plugin:@typescript-eslint/eslint-recommended,57
plugin:react/recommended,57
plugin:import/typescript,35
plugin:react-hooks/recommended,33
next/core-web-vitals,31
plugin:jest/recommended,24
plugin:@typescript-eslint/recommended-requiring-type-checking,23
plugin:import/recommended,17
plugin:import/errors,15
plugin:import/warnings,14
standard,14
airbnb,12
plugin:jsx-a11y/recommended,11
react-app,11
plugin:react/jsx-runtime,10
@react-native,9
plugin:promise/recommended,7
prettier/@typescript-eslint,7
airbnb-typescript/base,7
plugin:sonarjs/recommended,6
plugin:storybook/recommended,6
plugin:svelte/recommended,6
plugin:vue/vue3-recommended,6
airbnb-typescript,5
plugin:tailwindcss/recommended,5
next/typescript,5
standard-with-typescript,4
plugin:eslint-comments/recommended,4
plugin:unicorn/recommended,4
plugin:jsdoc/recommended,4
airbnb-base,4
plugin:cypress/recommended,3
plugin:jest/style,3
./node_modules/gts/,3
@react-native-community,3
next,3
google,3
prettier/react,3
@nuxtjs/eslint-config-typescript,3
plugin:@typescript-eslint/strict,2
eslint-config-atomic,2
plugin:you-dont-need-lodash-underscore/compatible,2
airbnb/hooks,2
@theguild,2
plugin:matrix-org/babel,2
plugin:vue/recommended,2
eslint:all,2
plugin:@typescript-eslint/all,2
eslint-config-prettier,2
plugin:github/recommended,2
plugin:import/electron,2
plugin:node/recommended,2
plugin:jest-dom/recommended,2
plugin:@typescript-eslint/recommended-type-checked,2
custom,2
@microsoft/eslint-config-spfx/lib/profiles/react,2
plugin:json/recommended,2
@excalidraw/eslint-config,2
typed-fp,2
@vue/eslint-config-typescript/recommended,2
@vue/eslint-config-prettier,2
plugin:jsdoc/recommended-error,2
standard-react,2
plugin:@angular-eslint/recommended,2
xo,2
@vue/standard,2
@vue/typescript,2
plugin:vue/essential,2
plugin:mattermost/react,1
plugin:jquery/deprecated,1
tamia/react,1
eslint-config-ali/typescript/react,1
preact,1
plugin:array-func/all,1
plugin:lodash/recommended,1
plugin:react-perf/all,1
plugin:security/recommended,1
plugin:markdown/recommended,1
plugin:@cspell/recommended,1
plugin:@eslint-community/eslint-comments/recommended,1
plugin:fp/recommended,1
plugin:lodash-fp/recommended,1
plugin:node/recommended-module,1
./node_modules/gts,1
plugin:matrix-org/jest,1
openlayers,1
.eslintrc-es6.yaml,1
@synqapp/eslint-config,1
@elastic/eslint-config-kibana,1
plugin:@elastic/eui/recommended,1
adjunct,1
plugin:ecmascript-compat/recommended,1
plugin:chai-friendly/recommended,1
@stacks/eslint-config,1
plugin:security-node/recommended,1
chance,1
chance/react,1
chance/typescript,1
@stoplight,1
plugin:wc/recommended,1
plugin:wc/best-practice,1
plugin:lit/recommended,1
plugin:lit-a11y/recommended,1
plugin:vuetify/base,1
@kiwi,1
@wemake-services/javascript,1
plugin:crank/recommended,1
plugin:@typescript-eslint/stylistic-type-checked,1
plugin:@typescript-eslint/strict-type-checked,1
ipfs,1
plugin:compat/recommended,1
plugin:rxjs/recommended,1
torchbox/typescript,1
../eslint-config/.eslintrc.node.js,1
expo,1
plugin:arco-mobile/recommended,1
@theguild/eslint-config/json,1
@theguild/eslint-config/yml,1
@theguild/eslint-config/mdx,1
vaadin/typescript-requiring-type-checking,1
vaadin/imports-typescript,1
vaadin/prettier,1
vaadin/testing,1
plugin:oxlint/recommended,1
enpitech,1
plugin:@next/next/recommended,1
xo/browser,1
xo-react/space,1
eslint-config-airbnb,1
plugin:n/recommended,1
@react-bootstrap,1
4catalyzer-typescript,1
@remix-run/eslint-config,1
@remix-run/eslint-config/jest-testing-library,1
@electron-toolkit,1
@electron-toolkit/eslint-config-ts/eslint-recommended,1
plugin:react/all,1
universe/web,1
universe/native,1
@vue/eslint-config-airbnb-with-typescript,1
@vue/typescript/recommended,1
./config/base.eslintrc.js,1
plugin:vue/vue3-essential,1
@callstack/eslint-config/node,1
plugin:@mattermost/react,1
@aident/eslint-config,1
"// ""prettier""",1
"// ""plugin:prettier/recommended"" Enables eslint-plugin-prettier // and displays prettier errors as ESLint errors. // Make sure this is always the last configuration in the extends array. // ""plugin:prettier/recommended""",1
canonical,1
canonical/typescript,1
unobtrusive,1
unobtrusive/import,1
unobtrusive/react,1
neon/common,1
neon/browser,1
neon/node,1
neon/typescript,1
neon/prettier,1
plugin:qwik/recommended,1
plugin:de-morgan/recommended-legacy,1
./.config/.eslintrc,1
oclif,1
oclif-typescript,1
next/babel,1
plugin:@destinationstransfers/recommended,1
plugin:testing-library/react,1
plugin:@dvcol/presets/react,1
@1password/eslint-config,1
plugin:@tanstack/query/recommended,1
plugin:ember/recommended,1
@teable/eslint-config-bases/typescript,1
@teable/eslint-config-bases/sonar,1
@teable/eslint-config-bases/regexp,1
@teable/eslint-config-bases/jest,1
@teable/eslint-config-bases/react,1
@teable/eslint-config-bases/tailwind,1
@teable/eslint-config-bases/rtl,1
plugin:@next/next/core-web-vitals,1
@teable/eslint-config-bases/prettier-plugin,1
prettier/standard,1
plugin:@tinymce/editor,1
plugin:package-json/recommended,1
@unocss,1
@workspace/eslint-config/library.js,1
xo-typescript,1
@swimlane,1
plugin:matrix-org/javascript,1
mifi,1
