repo_full_name,has_eslint,eslint_config_path,is_parsable,contributors_count,stars,size_kb,forks,open_issues,created_at,pushed_at,html_url,absolute_strictness,relative_strictness,total_enabled,analysis_status
microsoft/vscode-cpptools,True,Extension/.eslintrc.js,True,129,5939,59763,1677,1396,2016-03-26T21:26:30Z,2025-11-03T19:30:16Z,https://github.com/microsoft/vscode-cpptools,,,,failed
mattermost-community/focalboard,True,webapp/.eslintrc.json,True,265,25355,59225,2386,776,2020-10-06T16:46:23Z,2025-10-27T10:12:44Z,https://github.com/mattermost-community/focalboard,,,,failed
pnp/cli-microsoft365,True,eslint.config.mjs,True,179,1043,61064,366,312,2017-10-12T17:18:21Z,2025-11-03T11:07:16Z,https://github.com/pnp/cli-microsoft365,,,,failed
refined-github/refined-github,True,eslint.config.js,True,394,29629,26063,1621,147,2016-02-15T16:45:02Z,2025-11-01T07:33:05Z,https://github.com/refined-github/refined-github,377.0,0.860730593607306,438.0,success
yzhang-gh/vscode-markdown,False,,,78,3107,8160,337,422,2017-01-03T11:22:01Z,2025-03-09T15:37:18Z,https://github.com/yzhang-gh/vscode-markdown,,,,not_run
lukeautry/tsoa,True,.eslintrc.js,True,216,3884,6950,527,125,2016-06-17T10:42:50Z,2025-10-28T12:09:58Z,https://github.com/lukeautry/tsoa,,,,failed
photoview/photoview,True,ui/.eslintrc.js,True,74,6222,75499,444,163,2019-07-07T13:55:00Z,2025-11-03T09:47:24Z,https://github.com/photoview/photoview,,,,failed
xtermjs/xterm.js,True,.eslintrc.json,True,343,19301,30066,1752,228,2014-03-24T16:04:04Z,2025-11-02T11:54:48Z,https://github.com/xtermjs/xterm.js,,,,failed
bcherny/json-schema-to-typescript,True,.eslintrc.json,True,68,3187,45718,430,180,2016-03-22T03:56:58Z,2025-09-25T21:34:05Z,https://github.com/bcherny/json-schema-to-typescript,17.0,0.9444444444444444,18.0,success
conventional-changelog/commitlint,True,eslint.config.mjs,True,277,18059,19493,947,173,2016-02-12T08:37:56Z,2025-10-24T05:30:59Z,https://github.com/conventional-changelog/commitlint,67.0,1.0,67.0,success
DXHeroes/knowledge-base-content,False,,,53,146,24778,74,61,2019-02-25T10:00:17Z,2025-11-03T06:51:33Z,https://github.com/DXHeroes/knowledge-base-content,,,,not_run
stenciljs/output-targets,True,example-project/react-app/.eslintrc.cjs,True,61,260,6602,143,102,2019-05-15T20:22:43Z,2025-11-01T16:21:41Z,https://github.com/stenciljs/output-targets,,,,failed
funmusicplace/mirlo,False,,,33,181,35481,47,147,2023-01-12T13:54:40Z,2025-11-04T02:51:23Z,https://github.com/funmusicplace/mirlo,,,,not_run
silverbulletmd/silverbullet,False,,,131,4050,50965,295,274,2022-02-16T09:56:34Z,2025-11-03T06:56:49Z,https://github.com/silverbulletmd/silverbullet,,,,not_run
styleguidist/react-styleguidist,True,.eslintrc,True,252,11229,26393,1428,243,2015-09-07T05:30:30Z,2025-01-07T10:44:29Z,https://github.com/styleguidist/react-styleguidist,197.0,0.9899497487437184,199.0,success
stashapp/stash-box,False,,,25,292,5131,78,184,2019-11-12T00:02:39Z,2025-10-21T07:13:46Z,https://github.com/stashapp/stash-box,,,,not_run
alibaba/lowcode-engine,True,.eslintrc.js,True,100,15752,53319,2736,662,2021-12-20T07:26:44Z,2025-03-10T09:37:14Z,https://github.com/alibaba/lowcode-engine,185.0,0.7459677419354839,248.0,success
